Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Altay Bayındır,26.0,tr TUR,Goalkeeper,Manchester Utd,eng Premier League,4,0,0
Ihlas Bebou,30.0,tg TOG,Midfielder,Hoffenheim,de Bundesliga,1,0,0
Adrian Beck,27.0,de GER,"Midfielder, Forward",Heidenheim,de Bundesliga,32,4,1
Sheraldo Becker,29.0,sr SUR,"Forward, Midfielder",Real Sociedad,es La Liga,22,2,1
Timo Becker,27.0,de GER,Defender,Holstein Kiel,de Bundesliga,30,0,2
Jan Bednarek,28.0,pl POL,Defender,Southampton,eng Premier League,30,2,0
Donny van de Beek,27.0,nl NED,Midfielder,Girona,es La Liga,26,2,2
Hannes Behrens,,de GER,Defender,Hoffenheim,de Bundesliga,1,0,0
Kevin Behrens,33.0,de GER,Forward,Wolfsburg,de Bundesliga,18,1,0
Maximilian Beier,21.0,de GER,"Forward, Midfielder",Dortmund,de Bundesliga,29,8,5
Luken Beitia,20.0,es ESP,Defender,Real Sociedad,es La Liga,1,0,0
Ismael Bekhoucha,19.0,ma MAR,"Midfielder, Defender",Getafe,es La Liga,5,0,0
Reda Belahyane,20.0,ma MAR,Midfielder,Lazio,it Serie A,6,0,0
Haris Belkebla,30.0,dz ALG,Midfielder,Angers,fr Ligue 1,22,0,1
Yassin Belkhdim,22.0,fr FRA,Midfielder,Angers,fr Ligue 1,29,1,1
Stefan Bell,32.0,de GER,Defender,Mainz 05,de Bundesliga,18,0,1
Armel Bella Kotchap,22.0,de GER,Defender,Southampton,eng Premier League,4,0,0
Raoul Bellanova,24.0,it ITA,Defender,Atalanta,it Serie A,34,0,9
Jean-Ricner Bellegarde,26.0,fr FRA,"Midfielder, Forward",Wolves,eng Premier League,35,2,7
Héctor Bellerín,29.0,es ESP,Defender,Betis,es La Liga,9,0,2
Jude Bellingham,21.0,eng ENG,Midfielder,Real Madrid,es La Liga,31,9,8
Jeanuël Belocian,19.0,fr FRA,"Defender, Midfielder",Leverkusen,de Bundesliga,5,0,0
Andrea Belotti,30.0,it ITA,Forward,Como,it Serie A,18,2,0
Fran Beltrán,25.0,es ESP,Midfielder,Celta Vigo,es La Liga,34,2,1
Lucas Beltrán,23.0,ar ARG,"Forward, Midfielder",Fiorentina,it Serie A,33,5,4
Eliesse Ben Seghir,19.0,ma MAR,"Midfielder, Forward",Monaco,fr Ligue 1,33,6,3
Carlos Benavídez,26.0,uy URU,Midfielder,Alavés,es La Liga,18,1,1
Adrian Benedyczak,23.0,pl POL,"Forward, Midfielder",Parma,it Serie A,9,0,0
László Bénes,26.0,sk SVK,"Midfielder, Forward",Union Berlin,de Bundesliga,23,2,1
Iker Benito,21.0,es ESP,"Forward, Midfielder",Osasuna,es La Liga,2,0,0
Ismaël Bennacer,26.0,dz ALG,Midfielder,Marseille,fr Ligue 1,12,0,2
Saïd Benrahma,28.0,dz ALG,"Forward, Midfielder",Lyon,fr Ligue 1,13,1,3
Ramy Bensebaini,29.0,dz ALG,Defender,Dortmund,de Bundesliga,31,1,6
Nabil Bentaleb,29.0,dz ALG,Midfielder,Lille,fr Ligue 1,10,1,0
Rodrigo Bentancur,27.0,uy URU,Midfielder,Tottenham,eng Premier League,26,2,0
Daniel Bentley,31.0,eng ENG,Goalkeeper,Wolves,eng Premier League,2,0,0
Lucas Beraldo,20.0,br BRA,Defender,Paris S-G,fr Ligue 1,25,1,0
Yuri Berchiche,34.0,es ESP,Defender,Athletic Club,es La Liga,30,0,2
Álex Berenguer,29.0,es ESP,"Forward, Midfielder",Athletic Club,es La Liga,36,6,7
Sander Berge,26.0,no NOR,Midfielder,Fulham,eng Premier League,31,0,0
Lucas Bergvall,18.0,se SWE,Midfielder,Tottenham,eng Premier League,27,0,1
Medon Berisha,20.0,al ALB,Midfielder,Lecce,it Serie A,17,0,1
Mergim Berisha,26.0,de GER,Forward,Augsburg,de Bundesliga,2,0,0
Adrian Bernabe,23.0,es ESP,Midfielder,Parma,it Serie A,21,1,1
Marc Bernal,17.0,es ESP,Midfielder,Barcelona,es La Liga,3,0,0
Bernardo,29.0,br BRA,Defender,Bochum,de Bundesliga,21,0,0
Juan Bernat,31.0,es ESP,"Midfielder, Defender",Getafe,es La Liga,14,0,1
Maxime Bernauer,26.0,fr FRA,Defender,Saint-Étienne,fr Ligue 1,11,0,0
Antoine Bernede,25.0,fr FRA,Midfielder,Hellas Verona,it Serie A,14,1,0
Alexander Bernhardsson,25.0,se SWE,"Forward, Midfielder",Holstein Kiel,de Bundesliga,19,7,2
Victor Bernth Kristiansen,21.0,dk DEN,Defender,Leicester City,eng Premier League,30,0,1
Matúš Bero,28.0,sk SVK,Midfielder,Bochum,de Bundesliga,30,5,2
Juan Berrocal,25.0,es ESP,Defender,Getafe,es La Liga,19,0,0
Dimitry Bertaud,26.0,cd COD,Goalkeeper,Montpellier,fr Ligue 1,4,0,0
Jan-Niklas Beste,25.0,de GER,"Forward, Midfielder",Freiburg,de Bundesliga,12,0,1
Beto,26.0,gw GNB,Forward,Everton,eng Premier League,30,8,0
Sam Beukema,25.0,nl NED,Defender,Bologna,it Serie A,35,0,1
Alessandro Bianco,21.0,it ITA,Midfielder,Fiorentina,it Serie A,1,0,0
