Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Jan Bednarek,28.0,pl POL,DF,Southampton,eng Premier League,30,2,0
Donny van de Beek,27.0,nl NED,MF,Girona,es La Liga,26,2,2
Hannes Behrens,,de GER,DF,Hoffenheim,de Bundesliga,1,0,0
Kevin Behrens,33.0,de GER,FW,Wolfsburg,de Bundesliga,18,1,0
Maximilian Beier,21.0,de GER,"FW,MF",Dortmund,de Bundesliga,29,8,5
Luken Beitia,20.0,es ESP,DF,Real Sociedad,es La Liga,1,0,0
Ismael Bekhoucha,19.0,ma MAR,"MF,DF",Getafe,es La Liga,5,0,0
Reda Belahyane,20.0,ma MAR,MF,Hellas Verona,it Serie A,22,0,2
Reda Belahyane,20.0,ma MAR,MF,Lazio,it Serie A,6,0,0
Haris Belkebla,30.0,dz ALG,MF,Angers,fr Ligue 1,22,0,1
Yassin Belkhdim,22.0,fr FRA,MF,Angers,fr Ligue 1,29,1,1
Stefan Bell,32.0,de GER,DF,Mainz 05,de Bundesliga,18,0,1
Armel Bella Kotchap,22.0,de GER,DF,Southampton,eng Premier League,4,0,0
Raoul Bellanova,24.0,it ITA,DF,Torino,it Serie A,1,0,0
Raoul Bellanova,24.0,it ITA,DF,Atalanta,it Serie A,34,0,9
Jean-Ricner Bellegarde,26.0,fr FRA,"MF,FW",Wolves,eng Premier League,35,2,7
Héctor Bellerín,29.0,es ESP,DF,Betis,es La Liga,9,0,2
Jude Bellingham,21.0,eng ENG,MF,Real Madrid,es La Liga,31,9,8
Jeanuël Belocian,19.0,fr FRA,"DF,MF",Leverkusen,de Bundesliga,5,0,0
Andrea Belotti,30.0,it ITA,FW,Como,it Serie A,18,2,0
Fran Beltrán,25.0,es ESP,MF,Celta Vigo,es La Liga,34,2,1
Lucas Beltrán,23.0,ar ARG,"FW,MF",Fiorentina,it Serie A,33,5,4
Eliesse Ben Seghir,19.0,ma MAR,"MF,FW",Monaco,fr Ligue 1,33,6,3
Carlos Benavídez,26.0,uy URU,MF,Alavés,es La Liga,18,1,1
Adrian Benedyczak,23.0,pl POL,"FW,MF",Parma,it Serie A,9,0,0
László Bénes,26.0,sk SVK,"MF,FW",Union Berlin,de Bundesliga,23,2,1
Iker Benito,21.0,es ESP,"FW,MF",Osasuna,es La Liga,2,0,0
Ismaël Bennacer,26.0,dz ALG,MF,Milan,it Serie A,6,0,0
Ismaël Bennacer,26.0,dz ALG,MF,Marseille,fr Ligue 1,12,0,2
Saïd Benrahma,28.0,dz ALG,"FW,MF",Lyon,fr Ligue 1,13,1,3
Ramy Bensebaini,29.0,dz ALG,DF,Dortmund,de Bundesliga,31,1,6
Nabil Bentaleb,29.0,dz ALG,MF,Lille,fr Ligue 1,10,1,0
Rodrigo Bentancur,27.0,uy URU,MF,Tottenham,eng Premier League,26,2,0
Daniel Bentley,31.0,eng ENG,GK,Wolves,eng Premier League,2,0,0
Lucas Beraldo,20.0,br BRA,DF,Paris S-G,fr Ligue 1,25,1,0
Yuri Berchiche,34.0,es ESP,DF,Athletic Club,es La Liga,30,0,2
Álex Berenguer,29.0,es ESP,"FW,MF",Athletic Club,es La Liga,36,6,7
Sander Berge,26.0,no NOR,MF,Fulham,eng Premier League,31,0,0
Lucas Bergvall,18.0,se SWE,MF,Tottenham,eng Premier League,27,0,1
Medon Berisha,20.0,al ALB,MF,Lecce,it Serie A,17,0,1
Mergim Berisha,26.0,de GER,"FW,MF",Hoffenheim,de Bundesliga,11,1,1
Mergim Berisha,26.0,de GER,FW,Augsburg,de Bundesliga,2,0,0
Adrian Bernabe,23.0,es ESP,MF,Parma,it Serie A,21,1,1
Marc Bernal,17.0,es ESP,MF,Barcelona,es La Liga,3,0,0
Bernardo,29.0,br BRA,DF,Bochum,de Bundesliga,21,0,0
Juan Bernat,31.0,es ESP,"DF,MF",Villarreal,es La Liga,10,0,1
Juan Bernat,31.0,es ESP,"MF,DF",Getafe,es La Liga,14,0,1
Maxime Bernauer,26.0,fr FRA,DF,Saint-Étienne,fr Ligue 1,11,0,0
Antoine Bernede,25.0,fr FRA,MF,Hellas Verona,it Serie A,14,1,0
Alexander Bernhardsson,25.0,se SWE,"FW,MF",Holstein Kiel,de Bundesliga,19,7,2
Victor Bernth Kristiansen,21.0,dk DEN,DF,Leicester City,eng Premier League,30,0,1
Matúš Bero,28.0,sk SVK,MF,Bochum,de Bundesliga,30,5,2
Juan Berrocal,25.0,es ESP,DF,Getafe,es La Liga,19,0,0
Dimitry Bertaud,26.0,cd COD,GK,Montpellier,fr Ligue 1,4,0,0
Jan-Niklas Beste,25.0,de GER,"FW,MF",Freiburg,de Bundesliga,12,0,1
Beto,26.0,gw GNB,FW,Everton,eng Premier League,30,8,0
Sam Beukema,25.0,nl NED,DF,Bologna,it Serie A,35,0,1
Alessandro Bianco,21.0,it ITA,MF,Monza,it Serie A,34,1,0
Alessandro Bianco,21.0,it ITA,MF,Fiorentina,it Serie A,1,0,0
